run,logZ,sigma,delta_vs_0115,note
0115,-1440.29870994185,0.47201846660067,0.0,baseline reference
0116,-1429.34793454023,0.39041292849312,10.950775401619921,very strong active lead
0118,-1509.15015053526,0.354623203993282,-68.85144059341019,controlled broad-memory comparison
